horizon,horizon_days,model,n,RMSE_return,MAE_return,Directional_Accuracy_pct,Balanced_Accuracy_pct,F1_positive,MCC_direction,DA_coverage_pct,AlwaysUp_accuracy_same_coverage_pct,DA_excess_vs_AlwaysUp_pp,McNemar_exact_p_vs_AlwaysUp,Price_RMSE,Price_MAE,Price_MAPE_pct,Skill_vs_HistoricalMean,Skill_vs_ZeroReturn
24M,730,LSTM,2302,119.01720127397087,90.3829920686472,75.15204170286707,49.884659746251444,0.8581349206349206,-0.023878366007293116,100.0,75.32580364900086,-0.17376194613379425,0.125,18514.48905672619,13859.752866032986,69.14692105351118,0.2986145025175956,0.3177586648069628
24M,730,Majority Direction,2302,148.97540239164653,121.91324876319642,75.32580364900086,50.0,0.8592666005946482,,100.0,75.32580364900086,0.0,,130900.23086172297,81924.25775839457,386.22244005737815,-0.09892094032498533,-0.06892613589820384
24M,730,OLS,2302,129.6622681031548,105.30237505495167,76.10773240660296,51.58450704225353,0.8631159780985566,0.15510956557089006,100.0,75.32580364900086,0.7819287576021026,7.62939453125e-06,110993.90723399672,65755.46637827902,274.5347241155883,0.16753776024568834,0.19025963327390338
24M,730,Persistence Direction,2302,236.65642476984144,195.3654957464355,52.85901353120907,50.29600040968914,0.6387959866220736,0.005134594248267531,99.52215464813206,75.29463116542995,-22.435617634220876,2.557509116518216e-60,89005.43268228223,49773.814775865954,231.9662263106739,-1.7731535247281127,-1.6974609115770156
24M,730,Random Walk with Drift,2302,142.1121934267841,116.10709296702336,75.32580364900086,50.0,0.8592666005946482,,100.0,75.32580364900086,0.0,,118223.78282967718,73541.08780531955,346.5033873064181,0.0,0.027294779202142516
24M,730,VS-LSTM,2302,130.34387763472407,102.51804312601992,75.32580364900086,50.0,0.8592666005946482,,100.0,75.32580364900086,0.0,,39264.87472135131,20944.098981307026,77.28324868317654,0.15876256914189046,0.18172395907374017
24M,730,Zero Return,2302,144.09228193515872,116.63632507955866,,,,,0.0,,,,21545.24498415247,15783.218807993051,64.58180795971829,-0.028060689527042992,0.0
2M,60,ARIMA,3642,34.78061642871573,27.18766144995047,55.6836902800659,52.19967881015795,0.6579058923272574,0.04787495177154262,100.0,58.37451949478309,-2.6908292147171835,0.0027410126332931602,9177.919181018675,4724.080926230993,29.6799994272937,-0.10358949819620156,-0.10503272941978059
2M,60,Adaptive Ensemble,3642,29.61867407006924,22.291838783754645,65.26633717737506,58.67581792954177,0.767163629670532,0.2959594112946374,100.0,58.37451949478309,6.891817682591977,1.8256990329157522e-47,6319.227118259076,3505.3827661737337,23.47673367172294,0.19967895948928904,0.1986323309046203
2M,60,GLS,3642,2147.640640114762,855.0709867440557,59.30807248764415,53.87515916768641,0.7123447204968945,0.10191214765545205,100.0,58.37451949478309,0.9335529928610597,0.18360204052021425,3.2084836453606276e+23,5.28959864356031e+22,1.7073416414626713e+22,-4206.811114877011,-4212.3139258351075
2M,60,GLS-LSTM,3642,1690.0325526029292,430.8842528301113,48.352553542009886,49.72448166562003,0.48423361667123666,-0.005507782596358096,100.0,58.37451949478309,-10.0219659527732,2.3183905493942172e-15,2.8349622050524987e+23,4.050126404641929e+22,1.4092167069447326e+22,-2604.6924165601063,-2608.100039286464
2M,60,Historical Mean,3642,33.10804183921996,26.27633496636931,58.37451949478309,50.0,0.7371705963938974,,100.0,58.37451949478309,0.0,,7841.595289671559,4341.876141725587,28.39534022895201,0.0,-0.0013077609255418565
2M,60,Historical Median,3642,32.75312688949848,26.020877641113213,58.37451949478309,50.0,0.7371705963938974,,100.0,58.37451949478309,0.0,,7627.026358414227,4260.392254159997,27.178233184182904,0.021324886852098213,0.020045013780323195
2M,60,LSTM,3642,34.355390727776694,27.366532098487234,57.111477210324004,51.44482683300362,0.6989205859676175,0.03892785152177597,100.0,58.37451949478309,-1.2630422844590825,0.06159594921397326,7252.480847143995,4127.193437867031,27.042938386018072,-0.07676961951994254,-0.07817777675416115
2M,60,Majority Direction,3642,44.32790696794141,36.60227003643757,58.37451949478309,50.0,0.7371705963938974,,100.0,58.37451949478309,0.0,,11424.6468709745,6257.3184852097575,47.62441966985722,-0.792616793623788,-0.7949611078209591
2M,60,OLS,3642,44.709562587566374,35.40950072127406,57.52333882482152,49.422342302985776,0.7288343558282209,-0.04367980259528103,100.0,58.37451949478309,-0.8511806699615647,0.00011705541630032304,9793.970562913353,5438.518244624941,45.78216960015022,-0.8236179204351892,-0.826002776694652
2M,60,Persistence Direction,3642,34.53278377428242,27.108100122235314,53.471074380165284,52.94595416988508,0.5842973172532612,0.05826530339051301,99.67051070840198,58.26446280991735,-4.7933884297520635,2.4237966580087835e-05,7639.876865902027,4208.007031016036,26.0329553844454,-0.08791806406448788,-0.08934080079886253
2M,60,Random Walk with Drift,3642,33.10804183921996,26.27633496636931,58.37451949478309,50.0,0.7371705963938974,,100.0,58.37451949478309,0.0,,7841.595289671559,4341.876141725587,28.39534022895201,0.0,-0.0013077609255418565
2M,60,VS-LSTM,3642,33.858557871416075,26.7190131191808,49.64305326743548,44.14883450780263,0.6408147277712495,-0.14957757270426286,100.0,58.37451949478309,-8.73146622734761,2.8494056948015223e-36,7528.868311053553,4205.907487495939,26.300910675147378,-0.04585125538976165,-0.04721897879548931
2M,60,Zero Return,3642,33.08641434788151,26.079904997314667,,,,,0.0,,,,7289.66133990266,4099.160978583196,24.634146395110925,0.0013060529205655147,0.0
36M,1095,ARIMA,1572,147.67861107280504,133.59769460893563,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,170396.311980664,113436.83213627653,355.8966905738082,0.09324843715006914,-0.07630550280991777
36M,1095,Adaptive Ensemble,1572,37.12088470052458,29.403673375547843,99.80916030534351,70.0,0.9990436722983742,0.6318509862220751,100.0,99.68193384223919,0.1272264631043214,0.5,10386.488414625846,8149.5515079371635,29.730695473041497,0.942708558326434,0.9319956022536484
36M,1095,GLS,1572,359.781650455197,213.37098784392379,60.55979643765903,80.21697511167837,0.7533810660302307,0.06953212220167408,100.0,99.68193384223919,-39.12213740458016,1.1325079147166273e-176,53068485993.11787,9312739978.291359,21452629.828599066,-4.381844359299979,-5.3881981972825725
36M,1095,GLS-LSTM,1572,170.32709555529354,154.40283991480584,34.478371501272264,67.13465220165922,0.5104562737642585,0.04068810577860725,100.0,99.68193384223919,-65.20356234096693,5.350717814660125e-299,491173.65682323795,86524.61952784024,231.35962563694017,-0.20620353293069305,-0.4317521504144688
36M,1095,Historical Mean,1572,155.08630282012155,142.95883128636484,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,188510.06700727987,124467.47535907335,393.0946505055886,0.0,-0.1869905130652072
36M,1095,Historical Median,1572,177.96389127838503,170.6302198739662,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,212805.5954465101,158136.66383307724,520.4845893253274,-0.3167911561399752,-0.5630186100263164
36M,1095,LSTM,1572,97.27989050850252,79.5984338665415,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,36437.93562272534,25884.427325936642,100.43350791508261,0.6065412020978656,0.5329681396081258
36M,1095,Majority Direction,1572,155.4749532844668,143.40080510519968,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,189206.7920739189,125057.92714183113,395.1302749345784,-0.005018334199093033,-0.19294722815092125
36M,1095,OLS,1572,176.89986161579242,161.03850154761767,36.06870229007634,67.93235481812381,0.5279473931423203,0.04213645304319957,100.0,99.68193384223919,-63.61323155216285,1.5886030216965816e-291,26158.482205344448,22824.35148923727,74.59888973290832,-0.30109228260648235,-0.5443841960762499
36M,1095,Persistence Direction,1572,291.87019158989455,255.30713999557017,55.470249520153544,37.792041078305516,0.71334431630972,-0.027753358148629125,99.42748091603053,99.68010236724248,-44.20985284708894,3.377555320342633e-206,146542.37429029835,84747.3240671697,262.7161461732733,-2.5418698696021367,-3.2041659337292385
