horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
15D,15,OLS,Zero Return,3732,2.872346420464179,0.004074360637334795,16,False
15D,15,Persistence Direction,Random Walk with Drift,3732,-0.0029519552413705317,0.9976446839094495,16,False
15D,15,Persistence Direction,VS-LSTM,3732,-1.2614771654416466,0.20713698193270336,16,False
15D,15,Persistence Direction,Zero Return,3732,1.1375836705900426,0.2552943684056066,16,False
15D,15,Random Walk with Drift,VS-LSTM,3732,-1.3160178622460788,0.18816804747476001,16,False
15D,15,Random Walk with Drift,Zero Return,3732,0.40182010625508746,0.6878164238290423,16,False
15D,15,VS-LSTM,Zero Return,3732,1.6101621098904513,0.10736247078006711,16,False
1M,30,ARIMA,Adaptive Ensemble,3702,2.1163973164796803,0.03431103012115755,29,False
1M,30,ARIMA,GLS,3702,-3.238193101733653,0.0012028936180217276,29,False
1M,30,ARIMA,GLS-LSTM,3702,-2.4717840678168117,0.01344406934130582,29,False
1M,30,ARIMA,Historical Mean,3702,1.4333084694299667,0.15176970266338463,29,False
1M,30,ARIMA,Historical Median,3702,1.7193204064313528,0.08555604621268298,29,False
1M,30,ARIMA,LSTM,3702,1.2975264353557132,0.19445011542695734,29,False
1M,30,ARIMA,Majority Direction,3702,-4.62326165939216,3.7775272665463433e-06,29,False
1M,30,ARIMA,OLS,3702,-1.9407401078627435,0.052289808871898824,29,False
1M,30,ARIMA,Persistence Direction,3702,0.9073109388940481,0.3642423911384327,29,False
1M,30,ARIMA,Random Walk with Drift,3702,1.4333084694299667,0.15176970266338463,29,False
1M,30,ARIMA,VS-LSTM,3702,0.4497463343004516,0.6528933576619105,29,False
1M,30,ARIMA,Zero Return,3702,1.280633016515548,0.20032259743787195,29,False
1M,30,Adaptive Ensemble,GLS,3702,-3.2383699172391176,0.00120214828046028,29,False
1M,30,Adaptive Ensemble,GLS-LSTM,3702,-2.4721000441584304,0.013432192062309056,29,False
1M,30,Adaptive Ensemble,Historical Mean,3702,-2.527624232953326,0.01148371874776899,29,False
1M,30,Adaptive Ensemble,Historical Median,3702,-1.5493343423022883,0.12130136827369498,29,False
1M,30,Adaptive Ensemble,LSTM,3702,-2.135203216031795,0.03274441433531172,29,False
1M,30,Adaptive Ensemble,Majority Direction,3702,-6.763449744153221,1.3474332760665675e-11,29,False
1M,30,Adaptive Ensemble,OLS,3702,-5.517031973275314,3.447727281447044e-08,29,False
1M,30,Adaptive Ensemble,Persistence Direction,3702,-2.437290002983397,0.014797806421493087,29,False
1M,30,Adaptive Ensemble,Random Walk with Drift,3702,-2.527624232953326,0.01148371874776899,29,False
1M,30,Adaptive Ensemble,VS-LSTM,3702,-3.004143804705359,0.002663294095066826,29,False
1M,30,Adaptive Ensemble,Zero Return,3702,-1.6074114750693793,0.10796413449986897,29,False
1M,30,GLS,GLS-LSTM,3702,3.8588096346108376,0.0001139406445329616,29,False
1M,30,GLS,Historical Mean,3702,3.2382930546847337,0.0012024722298635826,29,False
1M,30,GLS,Historical Median,3702,3.2383131969550516,0.001202387329279908,29,False
1M,30,GLS,LSTM,3702,3.238289159887324,0.001202488647250366,29,False
1M,30,GLS,Majority Direction,3702,3.2377566406091582,0.0012047352781323628,29,False
1M,30,GLS,OLS,3702,3.2380332783318053,0.0012035676953858765,29,False
1M,30,GLS,Persistence Direction,3702,3.2382613958790873,0.0012026056843590371,29,False
1M,30,GLS,Random Walk with Drift,3702,3.2382930546847337,0.0012024722298635826,29,False
1M,30,GLS,VS-LSTM,3702,3.2382199985066715,0.001202780211441823,29,False
1M,30,GLS,Zero Return,3702,3.238292437210712,0.0012024748326320278,29,False
1M,30,GLS-LSTM,Historical Mean,3702,2.4719659316950837,0.013437232101364494,29,False
