date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2015-06-24,229199.0,112937.0,49692386355.0,3.7747392618738086e+17,385482.0,2474.0,70.355,243.214,-0.7365474712463553,-0.7338416077579901,245.012,-0.25272920080773864,0.8726247795384093,1.1858821327426254,2,6,2015,242.511,-0.2894644051130095
2015-06-25,203345.0,111316.0,49692386355.0,3.757524930134762e+17,358747.0,2082.0,68.443,242.511,-0.2894644051130095,-0.28904586084682604,243.214,-0.7365474712463553,0.83398320543592,1.182622767398412,3,6,2015,242.731,0.09067641097598257
2015-06-26,256306.0,116278.0,49692386355.0,3.829083222301365e+17,416795.0,3171.0,80.325,242.731,0.09067641097598257,0.09071753446234787,242.511,-0.2894644051130095,0.8494390954759802,1.182601297562672,4,6,2015,246.389,1.4957753522430883
2015-06-27,273447.0,105875.0,49692386355.0,3.3791117091450035e+17,485325.0,2938.0,61.935,246.389,1.4957753522430883,1.5070180570260883,242.731,0.09067641097598257,0.7668351072272509,1.210144383984728,5,6,2015,249.74,1.3508788881299214
2015-06-28,242109.0,99004.0,49490567919.0,3.463642168488562e+17,412655.0,2061.0,68.625,249.74,1.3508788881299214,1.360044482505307,246.389,1.4957753522430883,0.8806966341437887,1.2292844962725522,6,6,2015,252.903,1.2585639314766655
2015-06-29,246196.0,124040.0,49402014931.0,3.3600246025987923e+17,487031.0,2704.0,116.419,252.903,1.2585639314766655,1.2665171778649675,249.74,1.3508788881299214,0.9245632674642359,1.2196782687659173,0,6,2015,262.642,3.7785872148870614
2015-06-30,280811.0,155724.0,49402014931.0,3.5567635955597306e+17,598351.0,2807.0,213.26,262.642,3.7785872148870614,3.850883540329697,252.903,1.2585639314766655,1.508924398224862,1.3600036688320998,1,6,2015,260.055,-0.9898741044675651
2015-07-01,267891.0,143977.0,49402014931.0,3.625935789379196e+17,634389.0,2388.0,85.796,260.055,-0.9898741044675651,-0.9849909763099518,262.642,3.7785872148870614,1.5594989260736987,1.2982158083536715,2,7,2015,257.569,-0.9605501732302079
2015-07-02,276497.0,141999.0,49402014931.0,3.396734829312694e+17,476853.0,2421.0,136.223,257.569,-0.9605501732302079,-0.955951625617657,260.055,-0.9898741044675651,1.6658566609025263,1.2807264364910378,3,7,2015,256.101,-0.5715747451085648
2015-07-03,267584.0,129558.0,49402014931.0,3.961638320997295e+17,430182.0,2454.0,100.549,256.101,-0.5715747451085648,-0.5699443644227475,257.569,-0.9605501732302079,1.7342689092347787,1.292191834331884,4,7,2015,257.741,0.6383306809093086
2015-07-04,251749.0,104430.0,49402014931.0,3.712715850896384e+17,388004.0,2267.0,64.802,257.741,0.6383306809093086,0.6403723530950645,256.101,-0.5715747451085648,1.7041508958440161,1.2857729619427434,5,7,2015,264.51,2.592385303537918
2015-07-05,272051.0,114942.0,49402014931.0,3.7691692123981926e+17,442136.0,2708.0,157.536,264.51,2.592385303537918,2.626279870102155,257.741,0.6383306809093086,1.84853133510432,1.3339958459707673,6,7,2015,271.941,2.770607323548659
2015-07-06,287795.0,173889.0,49402014931.0,3.9940439210732864e+17,507676.0,2371.0,138.021,271.941,2.770607323548659,2.8093455823976266,264.51,2.592385303537918,1.9910547183511986,1.3926407497866697,0,7,2015,267.655,-1.5886293224237316
2015-07-07,283673.0,190613.0,49402014931.0,3.6500241697786e+17,768931.0,1828.0,134.29,267.655,-1.5886293224237316,-1.5760771637965632,271.941,2.770607323548659,1.781687655188139,1.444602022076322,1,7,2015,268.562,0.3382961991164602
2015-07-08,286530.0,201586.0,49402014931.0,3.698614648364106e+17,737068.0,1685.0,150.737,268.562,0.3382961991164602,0.33886906652220716,267.655,-1.5886293224237316,1.6936931097182335,1.4452444715628032,2,7,2015,269.981,0.5269786382434353
